Z,H,mu,eta,Hp,n,V,nu,L,kappa,M
0,0.0,1.7894E-05,1.4607E-05,8435,2.5470E+25,458.94,6.9189E+09,6.6332E-08,2.5326E-02,28.964
5,5.0,1.6282E-05,2.2110E-05,7496,1.5312E+25,432.31,3.9180E+09,1.1034E-07,2.2732E-02,28.964
10,10.0,1.4577E-05,3.5250E-05,6555,8.5976E+24,403.97,2.0558E+09,1.9651E-07,2.0059E-02,28.964
15,15.0,1.4216E-05,7.2993E-05,6372,4.0493E+24,397.95,9.5380E+08,4.1723E-07,1.9505E-02,28.964
20,19.9,1.4216E-05,1.5989E-04,6382,1.8486E+24,397.95,4.3543E+08,9.1393E-07,1.9505E-02,28.964
25,24.9,1.4484E-05,3.6134E-04,6536,8.3341E+23,402.43,1.9852E+08,2.0272E-06,1.9917E-02,28.964
30,29.9,1.4753E-05,8.0132E-04,6693,3.8278E+23,406.91,9.2191E+07,4.4137E-06,2.0331E-02,28.964
35,34.8,1.5287E-05,1.8062E-03,6999,1.7597E+23,415.79,4.3307E+07,9.6010E-06,2.1162E-02,28.964
40,39.7,1.6009E-05,4.0066E-03,7421,8.3077E+22,427.78,2.1036E+07,2.0336E-05,2.2299E-02,28.964
45,44.7,1.6713E-05,8.4994E-03,7842,4.0882E+22,439.43,1.0633E+07,4.1325E-05,2.3418E-02,28.964
50,49.6,1.7037E-05,1.6590E-02,8047,2.1350E+22,444.79,5.6210E+06,7.9130E-05,2.3938E-02,28.964
55,54.5,1.6541E-05,2.9116E-02,7766,1.1812E+22,436.60,3.0524E+06,1.4303E-04,2.3144E-02,28.964
60,59.4,1.5837E-05,5.1140E-02,7368,6.4387E+21,424.93,1.6194E+06,2.6239E-04,2.2027E-02,28.964
65,64.3,1.5116E-05,9.2615E-02,6969,3.3934E+21,412.95,8.2944E+05,4.9787E-04,2.0896E-02,28.964
70,69.2,1.4377E-05,1.7357E-01,6570,1.7221E+21,400.64,4.0839E+05,9.8103E-04,1.9751E-02,28.964
75,74.1,1.3759E-05,3.4464E-01,6245,8.3002E+20,390.30,1.9175E+05,2.0354E-03,1.8807E-02,28.964
80,79.0,1.3208E-05,7.1556E-01,5962,3.8377E+20,381.05,8.6558E+04,4.4023E-03,1.7975E-02,28.964
85,83.9,1.2647E-05,1.5386E+00,5678,1.7090E+20,371.59,3.7588E+04,9.8859E-03,1.7137E-02,28.964
90,88.7,1.2529E-05,3.6420E+00,5637,7.1666E+19,369.96,1.5693E+04,2.3574E-02,1.6962E-02,28.906
95,93.6,1.2619E-05,9.0964E+00,5727,2.9074E+19,372.60,6.4122E+03,5.8109E-02,1.7096E-02,28.734
100,98.5,1.3005E-05,2.3204E+01,6008,1.1884E+19,381.36,2.6825E+03,1.4216E-01,1.7670E-02,28.400
105,103.3,1.3783E-05,5.9092E+01,6562,5.0380E+18,398.23,1.1875E+03,3.3534E-01,1.8844E-02,27.881
110,108.1,1.5471E-05,1.5993E+02,7723,2.1365E+18,431.69,5.4592E+02,7.9076E-01,2.1450E-02,27.267
115,113.0,1.8460E-05,4.3136E+02,9881,9.6588E+17,487.91,2.7894E+02,1.7491E+00,2.6252E-02,26.681
120,117.8,2.1171E-05,9.5369E+02,12091,5.1014E+17,539.31,1.6285E+02,3.3117E+00,3.0780E-02,26.205
125,122.6,2.3550E-05,1.8230E+03,14254,3.0150E+17,585.12,1.0442E+02,5.6035E+00,3.4864E-02,25.802
130,127.4,2.5569E-05,3.1374E+03,16287,1.9294E+17,624.97,7.1372E+01,8.7566E+00,3.8396E-02,25.437
135,132.2,2.7303E-05,4.9962E+03,18206,1.3117E+17,660.25,5.1260E+01,1.2880E+01,4.1473E-02,25.090
140,137.0,2.8808E-05,7.5190E+03,20022,9.3211E+16,691.86,3.8171E+01,1.8125E+01,4.4169E-02,24.753
145,141.8,3.0123E-05,1.0834E+04,21746,6.8563E+16,720.48,2.9239E+01,2.4641E+01,4.6542E-02,24.422
150,146.5,3.1279E-05,1.5073E+04,23383,5.1854E+16,746.54,2.2913E+01,3.2581E+01,4.8641E-02,24.100
155,151.3,3.2301E-05,2.0381E+04,24935,4.0116E+16,770.33,1.8291E+01,4.2114E+01,5.0504E-02,23.791
160,156.1,3.3208E-05,2.6919E+04,26412,3.1625E+16,792.20,1.4829E+01,5.3421E+01,5.2162E-02,23.490
165,160.8,3.4014E-05,3.4876E+04,27825,2.5324E+16,812.49,1.2179E+01,6.6715E+01,5.3643E-02,23.192
170,165.6,3.4735E-05,4.4442E+04,29177,2.0553E+16,831.36,1.0114E+01,8.2201E+01,5.4967E-02,22.900
175,170.3,3.5379E-05,5.5818E+04,30470,1.6877E+16,848.93,8.4806E+00,1.0010E+02,5.6155E-02,22.616
180,175.0,3.5957E-05,6.9227E+04,31706,1.4001E+16,865.31,7.1713E+00,1.2066E+02,5.7222E-02,22.340
185,179.8,3.6476E-05,8.4922E+04,32890,1.1719E+16,880.65,6.1087E+00,1.4416E+02,5.8182E-02,22.072
190,184.5,3.6944E-05,1.0317E+05,34029,9.8869E+15,895.09,5.2381E+00,1.7088E+02,5.9047E-02,21.810
195,189.2,3.7365E-05,1.2428E+05,35128,8.4007E+15,908.74,4.5186E+00,2.0111E+02,5.9827E-02,21.552
200,193.9,3.7745E-05,1.4856E+05,36189,7.1832E+15,921.65,3.9186E+00,2.3520E+02,6.0532E-02,21.300
205,198.6,3.8089E-05,1.7636E+05,37210,6.1768E+15,933.84,3.4142E+00,2.7352E+02,6.1169E-02,21.056
210,203.3,3.8399E-05,2.0805E+05,38192,5.3385E+15,945.37,2.9873E+00,3.1647E+02,6.1745E-02,20.820
215,208.0,3.8680E-05,2.4404E+05,39139,4.6354E+15,956.29,2.6238E+00,3.6447E+02,6.2267E-02,20.591
220,212.6,3.8935E-05,2.8479E+05,40053,4.0417E+15,966.65,2.3125E+00,4.1801E+02,6.2740E-02,20.370
225,217.3,3.9166E-05,3.3082E+05,40935,3.5372E+15,976.50,2.0445E+00,4.7763E+02,6.3169E-02,20.156
230,222.0,3.9375E-05,3.8263E+05,41788,3.1064E+15,985.87,1.8127E+00,5.4387E+02,6.3559E-02,19.949
235,226.6,3.9565E-05,4.4079E+05,42612,2.7370E+15,994.78,1.6116E+00,6.1727E+02,6.3913E-02,19.749
240,231.3,3.9738E-05,5.0588E+05,43408,2.4189E+15,1003.28,1.4365E+00,6.9844E+02,6.4234E-02,19.556
245,235.9,3.9895E-05,5.7856E+05,44179,2.1439E+15,1011.38,1.2834E+00,7.8805E+02,6.4526E-02,19.369
250,240.5,4.0037E-05,6.5952E+05,44925,1.9051E+15,1019.11,1.1492E+00,8.8682E+02,6.4792E-02,19.190
255,245.2,4.0167E-05,7.4955E+05,45646,1.6970E+15,1026.48,1.0310E+00,9.9557E+02,6.5033E-02,19.017
260,249.8,4.0285E-05,8.4953E+05,46344,1.5150E+15,1033.51,9.2676E-01,1.1152E+03,6.5253E-02,18.850
265,254.4,4.0393E-05,9.6039E+05,47019,1.3552E+15,1040.23,8.3440E-01,1.2467E+03,6.5454E-02,18.690
270,259.0,4.0491E-05,1.0831E+06,47672,1.2145E+15,1046.64,7.5241E-01,1.3910E+03,6.5636E-02,18.536
275,263.6,4.0580E-05,1.2188E+06,48304,1.0904E+15,1052.76,6.7947E-01,1.5494E+03,6.5802E-02,18.388
280,268.2,4.0661E-05,1.3686E+06,48916,9.8061E+14,1058.61,6.1444E-01,1.7229E+03,6.5954E-02,18.246
285,272.8,4.0735E-05,1.5337E+06,49509,8.8324E+14,1064.20,5.5636E-01,1.9128E+03,6.6092E-02,18.109
290,277.3,4.0803E-05,1.7156E+06,50083,7.9669E+14,1069.55,5.0436E-01,2.1206E+03,6.6218E-02,17.978
295,281.9,4.0865E-05,1.9157E+06,50640,7.1959E+14,1074.68,4.5773E-01,2.3478E+03,6.6333E-02,17.851
300,286.5,4.0921E-05,2.1358E+06,51181,6.5075E+14,1079.58,4.1584E-01,2.5962E+03,6.6438E-02,17.730
305,291.0,4.0972E-05,2.3776E+06,51705,5.8918E+14,1084.28,3.7813E-01,2.8675E+03,6.6533E-02,17.613
310,295.6,4.1019E-05,2.6431E+06,52214,5.3401E+14,1088.79,3.4415E-01,3.1638E+03,6.6621E-02,17.501
315,300.1,4.1062E-05,2.9343E+06,52709,4.8452E+14,1093.12,3.1349E-01,3.4869E+03,6.6700E-02,17.393
320,304.7,4.1101E-05,3.2532E+06,53190,4.4007E+14,1097.27,2.8581E-01,3.8391E+03,6.6773E-02,17.289
325,309.2,4.1137E-05,3.6023E+06,53658,4.0009E+14,1101.27,2.6080E-01,4.2227E+03,6.6840E-02,17.188
330,313.7,4.1169E-05,3.9840E+06,54114,3.6409E+14,1105.11,2.3816E-01,4.6402E+03,6.6901E-02,17.091
335,318.2,4.1199E-05,4.4011E+06,54559,3.3164E+14,1108.82,2.1766E-01,5.0943E+03,6.6956E-02,16.998
340,322.7,4.1226E-05,4.8565E+06,54993,3.0235E+14,1112.39,1.9908E-01,5.5878E+03,6.7007E-02,16.907
345,327.2,4.1251E-05,5.3534E+06,55418,2.7588E+14,1115.84,1.8221E-01,6.1238E+03,6.7053E-02,16.820
350,331.7,4.1274E-05,5.8952E+06,55834,2.5194E+14,1119.19,1.6690E-01,6.7058E+03,6.7096E-02,16.735
355,336.2,4.1295E-05,6.4855E+06,56242,2.3026E+14,1122.43,1.5298E-01,7.3372E+03,6.7135E-02,16.652
360,340.7,4.1314E-05,7.1285E+06,56643,2.1061E+14,1125.58,1.4031E-01,8.0220E+03,6.7170E-02,16.572
365,345.2,4.1331E-05,7.8284E+06,57037,1.9277E+14,1128.65,1.2878E-01,8.7642E+03,6.7203E-02,16.493
370,349.6,4.1347E-05,8.5901E+06,57426,1.7657E+14,1131.65,1.1827E-01,9.5685E+03,6.7232E-02,16.417
375,354.1,4.1362E-05,9.4185E+06,57810,1.6183E+14,1134.59,1.0868E-01,1.0440E+04,6.7260E-02,16.341
380,358.6,4.1375E-05,1.0319E+07,58190,1.4843E+14,1137.47,9.9930E-02,1.1383E+04,6.7284E-02,16.267
385,363.0,4.1387E-05,1.1299E+07,58568,1.3621E+14,1140.31,9.1935E-02,1.2403E+04,6.7307E-02,16.195
390,367.5,4.1398E-05,1.2363E+07,58943,1.2507E+14,1143.11,8.4625E-02,1.3508E+04,6.7328E-02,16.122
395,371.9,4.1409E-05,1.3520E+07,59318,1.1491E+14,1145.89,7.7937E-02,1.4703E+04,6.7347E-02,16.051
400,376.3,4.1418E-05,1.4777E+07,59692,1.0563E+14,1148.65,7.1813E-02,1.5995E+04,6.7365E-02,15.980
405,380.7,4.1427E-05,1.6143E+07,60068,9.7140E+13,1151.40,6.6203E-02,1.7392E+04,6.7381E-02,15.909
410,385.2,4.1434E-05,1.7626E+07,60445,8.9380E+13,1154.16,6.1060E-02,1.8902E+04,6.7395E-02,15.838
415,389.6,4.1442E-05,1.9237E+07,60825,8.2282E+13,1156.93,5.6346E-02,2.0533E+04,6.7409E-02,15.767
420,394.0,4.1448E-05,2.0984E+07,61209,7.5785E+13,1159.72,5.2022E-02,2.2293E+04,6.7421E-02,15.695
425,398.4,4.1454E-05,2.2880E+07,61598,6.9837E+13,1162.54,4.8056E-02,2.4191E+04,6.7432E-02,15.623
430,402.8,4.1460E-05,2.4936E+07,61993,6.4390E+13,1165.40,4.4416E-02,2.6238E+04,6.7443E-02,15.550
435,407.1,4.1465E-05,2.7164E+07,62394,5.9399E+13,1168.30,4.1075E-02,2.8443E+04,6.7452E-02,15.476
440,411.5,4.1470E-05,2.9578E+07,62803,5.4824E+13,1171.26,3.8008E-02,3.0816E+04,6.7461E-02,15.401
445,415.9,4.1474E-05,3.2192E+07,63221,5.0628E+13,1174.29,3.5190E-02,3.3370E+04,6.7469E-02,15.324
450,420.3,4.1478E-05,3.5023E+07,63650,4.6780E+13,1177.40,3.2601E-02,3.6115E+04,6.7476E-02,15.246
455,424.6,4.1481E-05,3.8086E+07,64089,4.3248E+13,1180.59,3.0222E-02,3.9065E+04,6.7483E-02,15.166
460,429.0,4.1485E-05,4.1401E+07,64542,4.0006E+13,1183.88,2.8034E-02,4.2231E+04,6.7489E-02,15.083
465,433.3,4.1488E-05,4.4986E+07,65008,3.7028E+13,1187.28,2.6021E-02,4.5627E+04,6.7495E-02,14.999
470,437.6,4.1490E-05,4.8861E+07,65489,3.4291E+13,1190.79,2.4170E-02,4.9268E+04,6.7500E-02,14.912
475,442.0,4.1493E-05,5.3050E+07,65988,3.1776E+13,1194.44,2.2466E-02,5.3167E+04,6.7505E-02,14.823
480,446.3,4.1495E-05,5.7575E+07,66504,2.9464E+13,1198.23,2.0897E-02,5.7341E+04,6.7509E-02,14.731
485,450.6,4.1498E-05,6.2463E+07,67040,2.7336E+13,1202.17,1.9451E-02,6.1804E+04,6.7513E-02,14.636
490,454.9,4.1499E-05,6.7740E+07,67598,2.5378E+13,1206.28,1.8120E-02,6.6572E+04,6.7517E-02,14.537
495,459.2,4.1501E-05,7.3437E+07,68179,2.3575E+13,1210.57,1.6893E-02,7.1662E+04,6.7520E-02,14.435
500,463.5,4.1503E-05,7.9585E+07,68785,2.1915E+13,1215.05,1.5761E-02,7.7091E+04,6.7523E-02,14.330
505,467.8,4.1504E-05,8.6216E+07,69418,2.0386E+13,1219.74,1.4718E-02,8.2876E+04,6.7526E-02,14.221
510,472.1,4.1506E-05,9.3367E+07,70079,1.8975E+13,1224.64,1.3755E-02,8.9034E+04,6.7529E-02,14.108
515,476.4,4.1507E-05,1.0107E+08,70769,1.7675E+13,1229.76,1.2866E-02,9.5584E+04,6.7531E-02,13.992
520,480.7,4.1508E-05,1.0938E+08,71489,1.6475E+13,1235.10,1.2045E-02,1.0254E+05,6.7533E-02,13.871
525,484.9,4.1509E-05,1.1831E+08,72240,1.5368E+13,1240.67,1.1286E-02,1.0993E+05,6.7535E-02,13.748
530,489.2,4.1510E-05,1.2793E+08,73024,1.4346E+13,1246.47,1.0584E-02,1.1777E+05,6.7537E-02,13.621
535,493.5,4.1511E-05,1.3828E+08,73840,1.3401E+13,1252.51,9.9350E-03,1.2607E+05,6.7539E-02,13.490
540,497.7,4.1512E-05,1.4940E+08,74691,1.2528E+13,1258.80,9.3343E-03,1.3486E+05,6.7541E-02,13.356
545,502.0,4.1513E-05,1.6135E+08,75578,1.1721E+13,1265.33,8.7781E-03,1.4415E+05,6.7542E-02,13.219
550,506.2,4.1514E-05,1.7419E+08,76502,1.0974E+13,1272.12,8.2630E-03,1.5395E+05,6.7543E-02,13.079
555,510.4,4.1514E-05,1.8796E+08,77466,1.0283E+13,1279.18,7.7856E-03,1.6430E+05,6.7545E-02,12.935
560,514.7,4.1515E-05,2.0273E+08,78470,9.6429E+12,1286.52,7.3430E-03,1.7520E+05,6.7546E-02,12.788
565,518.9,4.1516E-05,2.1857E+08,79516,9.0502E+12,1294.13,6.9324E-03,1.8668E+05,6.7547E-02,12.639
570,523.1,4.1516E-05,2.3554E+08,80607,8.5010E+12,1302.04,6.5516E-03,1.9874E+05,6.7548E-02,12.486
575,527.3,4.1516E-05,2.5371E+08,81744,7.9920E+12,1310.24,6.1980E-03,2.1140E+05,6.7549E-02,12.330
580,531.5,4.1517E-05,2.7316E+08,82930,7.5198E+12,1318.76,5.8698E-03,2.2467E+05,6.7549E-02,12.172
585,535.7,4.1517E-05,2.9395E+08,84167,7.0818E+12,1327.60,5.5649E-03,2.3856E+05,6.7550E-02,12.010
590,539.9,4.1518E-05,3.1618E+08,85457,6.6753E+12,1336.77,5.2817E-03,2.5309E+05,6.7551E-02,11.846
595,544.1,4.1518E-05,3.3991E+08,86803,6.2978E+12,1346.29,5.0186E-03,2.6826E+05,6.7551E-02,11.679
600,548.3,4.1518E-05,3.6525E+08,88208,5.9472E+12,1356.17,4.7740E-03,2.8408E+05,6.7552E-02,11.510
605,552.4,4.1519E-05,3.9228E+08,89675,5.6215E+12,1366.42,4.5466E-03,3.0054E+05,6.7552E-02,11.338
610,556.6,4.1519E-05,4.2108E+08,91206,5.3186E+12,1377.04,4.3351E-03,3.1765E+05,6.7553E-02,11.164
615,560.7,4.1519E-05,4.5176E+08,92802,5.0370E+12,1388.04,4.1383E-03,3.3541E+05,6.7553E-02,10.988
620,564.9,4.1519E-05,4.8440E+08,94464,4.7748E+12,1399.41,3.9550E-03,3.5383E+05,6.7554E-02,10.810
625,569.1,4.1520E-05,5.1911E+08,96193,4.5306E+12,1411.15,3.7843E-03,3.7290E+05,6.7554E-02,10.631
630,573.2,4.1520E-05,5.5597E+08,97991,4.3031E+12,1423.26,3.6251E-03,3.9261E+05,6.7555E-02,10.451
635,577.3,4.1520E-05,5.9508E+08,99859,4.0911E+12,1435.73,3.4766E-03,4.1297E+05,6.7555E-02,10.270
640,581.5,4.1520E-05,6.3656E+08,101797,3.8932E+12,1448.56,3.3380E-03,4.3395E+05,6.7555E-02,10.089
645,585.6,4.1520E-05,6.8048E+08,103807,3.7085E+12,1461.75,3.2086E-03,4.5557E+05,6.7555E-02,9.908
650,589.7,4.1520E-05,7.2696E+08,105890,3.5360E+12,1475.28,3.0877E-03,4.7780E+05,6.7556E-02,9.727
655,593.8,4.1520E-05,7.7609E+08,108045,3.3747E+12,1489.16,2.9746E-03,5.0063E+05,6.7556E-02,9.547
660,597.9,4.1521E-05,8.2796E+08,110273,3.2239E+12,1503.36,2.8688E-03,5.2405E+05,6.7556E-02,9.367
665,602.0,4.1521E-05,8.8268E+08,112573,3.0827E+12,1517.88,2.7696E-03,5.4804E+05,6.7556E-02,9.189
670,606.1,4.1521E-05,9.4034E+08,114946,2.9505E+12,1532.70,2.6767E-03,5.7261E+05,6.7557E-02,9.012
675,610.2,4.1521E-05,1.0010E+09,117390,2.8265E+12,1547.81,2.5895E-03,5.9772E+05,6.7557E-02,8.837
680,614.3,4.1521E-05,1.0648E+09,119903,2.7103E+12,1563.18,2.5077E-03,6.2336E+05,6.7557E-02,8.664
685,618.4,4.1521E-05,1.1318E+09,122484,2.6011E+12,1578.79,2.4307E-03,6.4953E+05,6.7557E-02,8.494
690,622.4,4.1521E-05,1.2020E+09,125130,2.4984E+12,1594.62,2.3582E-03,6.7621E+05,6.7557E-02,8.326
695,626.5,4.1521E-05,1.2756E+09,127836,2.4019E+12,1610.63,2.2898E-03,7.0340E+05,6.7557E-02,8.161
700,630.6,4.1521E-05,1.3525E+09,130600,2.3109E+12,1626.79,2.2252E-03,7.3109E+05,6.7557E-02,8.000
705,634.6,4.1521E-05,1.4329E+09,133415,2.2251E+12,1643.07,2.1640E-03,7.5927E+05,6.7558E-02,7.842
710,638.7,4.1521E-05,1.5168E+09,136282,2.1442E+12,1659.45,2.1061E-03,7.8793E+05,6.7558E-02,7.688
715,642.7,4.1521E-05,1.6042E+09,139198,2.0677E+12,1675.93,2.0512E-03,8.1706E+05,6.7558E-02,7.538
720,646.7,4.1521E-05,1.6953E+09,142162,1.9955E+12,1692.48,1.9991E-03,8.4663E+05,6.7558E-02,7.391
725,650.8,4.1521E-05,1.7900E+09,145173,1.9272E+12,1709.10,1.9496E-03,8.7663E+05,6.7558E-02,7.248
730,654.8,4.1522E-05,1.8884E+09,148229,1.8626E+12,1725.78,1.9027E-03,9.0704E+05,6.7558E-02,7.109
735,658.8,4.1522E-05,1.9906E+09,151328,1.8014E+12,1742.50,1.8580E-03,9.3784E+05,6.7558E-02,6.973
740,662.8,4.1522E-05,2.0965E+09,154468,1.7435E+12,1759.24,1.8155E-03,9.6903E+05,6.7558E-02,6.841
745,666.8,4.1522E-05,2.2062E+09,157646,1.6885E+12,1775.99,1.7750E-03,1.0006E+06,6.7558E-02,6.712
750,670.8,4.1522E-05,2.3196E+09,160858,1.6363E+12,1792.73,1.7364E-03,1.0325E+06,6.7558E-02,6.588
755,674.8,4.1522E-05,2.4368E+09,164102,1.5868E+12,1809.45,1.6995E-03,1.0647E+06,6.7558E-02,6.466
760,678.8,4.1522E-05,2.5578E+09,167374,1.5397E+12,1826.12,1.6643E-03,1.0973E+06,6.7558E-02,6.349
765,682.8,4.1522E-05,2.6825E+09,170670,1.4949E+12,1842.71,1.6306E-03,1.1301E+06,6.7558E-02,6.235
770,686.8,4.1522E-05,2.8109E+09,173985,1.4523E+12,1859.22,1.5983E-03,1.1633E+06,6.7558E-02,6.125
775,690.8,4.1522E-05,2.9430E+09,177315,1.4117E+12,1875.61,1.5673E-03,1.1967E+06,6.7558E-02,6.018
780,694.8,4.1522E-05,3.0787E+09,180654,1.3730E+12,1891.86,1.5375E-03,1.2305E+06,6.7558E-02,5.915
785,698.7,4.1522E-05,3.2178E+09,183996,1.3360E+12,1907.94,1.5088E-03,1.2645E+06,6.7558E-02,5.816
790,702.7,4.1522E-05,3.3604E+09,187335,1.3007E+12,1923.83,1.4812E-03,1.2989E+06,6.7558E-02,5.720
795,706.6,4.1522E-05,3.5064E+09,190665,1.2670E+12,1939.50,1.4545E-03,1.3335E+06,6.7558E-02,5.628
800,710.6,4.1522E-05,3.6556E+09,193979,1.2347E+12,1954.91,1.4287E-03,1.3683E+06,6.7558E-02,5.540
805,714.5,4.1522E-05,3.8079E+09,197270,1.2037E+12,1970.05,1.4036E-03,1.4035E+06,6.7559E-02,5.455
810,718.5,4.1522E-05,3.9632E+09,200534,1.1740E+12,1984.89,1.3793E-03,1.4390E+06,6.7559E-02,5.374
815,722.4,4.1522E-05,4.1216E+09,203766,1.1455E+12,1999.43,1.3557E-03,1.4748E+06,6.7559E-02,5.296
820,726.3,4.1522E-05,4.2828E+09,206964,1.1181E+12,2013.65,1.3327E-03,1.5110E+06,6.7559E-02,5.222
825,730.2,4.1522E-05,4.4469E+09,210122,1.0918E+12,2027.55,1.3103E-03,1.5474E+06,6.7559E-02,5.150
830,734.1,4.1522E-05,4.6138E+09,213238,1.0664E+12,2041.10,1.2884E-03,1.5843E+06,6.7559E-02,5.082
835,738.1,4.1522E-05,4.7835E+09,216308,1.0419E+12,2054.32,1.2670E-03,1.6214E+06,6.7559E-02,5.017
840,742.0,4.1522E-05,4.9557E+09,219330,1.0184E+12,2067.18,1.2460E-03,1.6590E+06,6.7559E-02,4.955
845,745.9,4.1522E-05,5.1306E+09,222300,9.9559E+11,2079.68,1.2255E-03,1.6970E+06,6.7559E-02,4.895
850,749.7,4.1522E-05,5.3080E+09,225216,9.7358E+11,2091.83,1.2054E-03,1.7353E+06,6.7559E-02,4.839
855,753.6,4.1522E-05,5.4879E+09,228076,9.5231E+11,2103.61,1.1857E-03,1.7741E+06,6.7559E-02,4.784
860,757.5,4.1522E-05,5.6702E+09,230879,9.3172E+11,2115.03,1.1664E-03,1.8133E+06,6.7559E-02,4.733
865,761.4,4.1522E-05,5.8549E+09,233622,9.1180E+11,2126.08,1.1474E-03,1.8529E+06,6.7559E-02,4.684
870,765.3,4.1522E-05,6.0418E+09,236304,8.9249E+11,2136.77,1.1288E-03,1.8930E+06,6.7559E-02,4.637
875,769.1,4.1522E-05,6.2311E+09,238925,8.7377E+11,2147.10,1.1105E-03,1.9335E+06,6.7559E-02,4.593
880,773.0,4.1522E-05,6.4225E+09,241485,8.5562E+11,2157.08,1.0924E-03,1.9746E+06,6.7559E-02,4.550
885,776.8,4.1522E-05,6.6162E+09,243982,8.3801E+11,2166.71,1.0747E-03,2.0161E+06,6.7559E-02,4.510
890,780.7,4.1522E-05,6.8120E+09,246419,8.2091E+11,2176.00,1.0573E-03,2.0580E+06,6.7559E-02,4.471
895,784.5,4.1522E-05,7.0100E+09,248795,8.0431E+11,2184.96,1.0402E-03,2.1005E+06,6.7559E-02,4.435
900,788.4,4.1522E-05,7.2101E+09,251112,7.8818E+11,2193.60,1.0234E-03,2.1435E+06,6.7559E-02,4.400
905,792.2,4.1522E-05,7.4123E+09,253370,7.7251E+11,2201.92,1.0068E-03,2.1870E+06,6.7559E-02,4.367
910,796.0,4.1522E-05,7.6166E+09,255573,7.5728E+11,2209.95,9.9058E-04,2.2310E+06,6.7559E-02,4.335
915,799.9,4.1522E-05,7.8230E+09,257719,7.4247E+11,2217.68,9.7460E-04,2.2755E+06,6.7559E-02,4.305
920,803.7,4.1522E-05,8.0315E+09,259811,7.2807E+11,2225.14,9.5891E-04,2.3205E+06,6.7559E-02,4.276
925,807.5,4.1522E-05,8.2420E+09,261850,7.1406E+11,2232.32,9.4350E-04,2.3660E+06,6.7559E-02,4.249
930,811.3,4.1522E-05,8.4545E+09,263840,7.0044E+11,2239.24,9.2837E-04,2.4120E+06,6.7559E-02,4.222
935,815.1,4.1522E-05,8.6691E+09,265781,6.8718E+11,2245.93,9.1352E-04,2.4585E+06,6.7559E-02,4.197
940,818.9,4.1522E-05,8.8857E+09,267676,6.7428E+11,2252.38,8.9895E-04,2.5056E+06,6.7559E-02,4.173
945,822.7,4.1522E-05,9.1044E+09,269529,6.6174E+11,2258.61,8.8466E-04,2.5531E+06,6.7559E-02,4.150
950,826.5,4.1522E-05,9.3252E+09,271343,6.4953E+11,2264.65,8.7066E-04,2.6011E+06,6.7559E-02,4.128
955,830.3,4.1522E-05,9.5481E+09,273122,6.3765E+11,2270.50,8.5694E-04,2.6495E+06,6.7559E-02,4.107
960,834.0,4.1522E-05,9.7732E+09,274868,6.2609E+11,2276.19,8.4352E-04,2.6985E+06,6.7559E-02,4.086
965,837.8,4.1522E-05,1.0001E+10,276586,6.1484E+11,2281.74,8.3038E-04,2.7478E+06,6.7559E-02,4.067
970,841.6,4.1522E-05,1.0230E+10,278280,6.0390E+11,2287.15,8.1754E-04,2.7976E+06,6.7559E-02,4.047
975,845.3,4.1522E-05,1.0462E+10,279955,5.9326E+11,2292.46,8.0500E-04,2.8478E+06,6.7559E-02,4.029
980,849.1,4.1522E-05,1.0696E+10,281615,5.8291E+11,2297.68,7.9276E-04,2.8983E+06,6.7559E-02,4.010
985,852.8,4.1522E-05,1.0933E+10,283266,5.7284E+11,2302.84,7.8081E-04,2.9493E+06,6.7559E-02,3.992
990,856.6,4.1522E-05,1.1173E+10,284912,5.6306E+11,2307.94,7.6918E-04,3.0005E+06,6.7559E-02,3.975
995,860.3,4.1522E-05,1.1415E+10,286558,5.5354E+11,2313.03,7.5785E-04,3.0521E+06,6.7559E-02,3.957
1000,864.1,4.1522E-05,1.1660E+10,288212,5.4430E+11,2318.12,7.4683E-04,3.1039E+06,6.7559E-02,3.940
